run_id,tag,method,dataset,backbone,train_fraction,num_classes,epochs,batch_size,lr,seed,trainable_params,total_params,pct_trainable,best_acc,final_acc,peak_mem_mb,train_time_s,time_per_epoch_s,throughput_img_s,model,lora_r,adapter_dim,vpt_prompts
fracEff__vit_b__lora_ssf__dtd__s42__f5__r8__a64__p20,fracEff,lora_ssf,dtd,vit_b,0.05,47,20,128,0.001,42,404783,86203439,0.4696,42.287,42.234,9798.5,195.9,9.8,13.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora_ssf__dtd__s42__f10__r8__a64__p20,fracEff,lora_ssf,dtd,vit_b,0.1,47,20,128,0.001,42,404783,86203439,0.4696,58.138,57.234,9798.5,196.1,9.8,26.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora_ssf__dtd__s42__f25__r8__a64__p20,fracEff,lora_ssf,dtd,vit_b,0.25,47,20,128,0.001,42,404783,86203439,0.4696,72.234,72.074,9798.5,242.8,12.1,73.8,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora_ssf__dtd__s42__f50__r8__a64__p20,fracEff,lora_ssf,dtd,vit_b,0.5,47,20,128,0.001,42,404783,86203439,0.4696,78.298,78.298,9798.5,341.2,17.1,105.0,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__cifar100__s42__f5__r8__a64__p20,fracEff,linear_probe,cifar100,vit_b,0.05,100,6,128,0.001,42,76900,85875556,0.0895,78.65,78.62,1752.4,175.3,29.2,83.3,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__cifar100__s42__f10__r8__a64__p20,fracEff,linear_probe,cifar100,vit_b,0.1,100,6,128,0.001,42,76900,85875556,0.0895,82.36,82.36,1752.4,196.3,32.7,152.6,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__cifar100__s42__f25__r8__a64__p20,fracEff,linear_probe,cifar100,vit_b,0.25,100,6,128,0.001,42,76900,85875556,0.0895,85.73,85.73,1752.4,256.1,42.7,290.9,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__linear_probe__cifar100__s42__f50__r8__a64__p20,fracEff,linear_probe,cifar100,vit_b,0.5,100,6,128,0.001,42,76900,85875556,0.0895,87.46,87.41,1752.4,367.1,61.2,408.0,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__bitfit__cifar100__s42__f5__r8__a64__p20,fracEff,bitfit,cifar100,vit_b,0.05,100,6,128,0.001,42,179812,85875556,0.2094,88.39,88.39,6349.2,209.1,34.9,69.8,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__bitfit__cifar100__s42__f10__r8__a64__p20,fracEff,bitfit,cifar100,vit_b,0.1,100,6,128,0.001,42,179812,85875556,0.2094,90.43,90.43,6349.2,262.4,43.7,114.1,vit_base_patch16_224.augreg_in21k,8,64,20
